2025-07-30 18:07:13,010 - cybersecurity_simulation - INFO - demo.py:29 - main - Starting cybersecurity simulation demo
2025-07-30 18:07:15,066 - cybersecurity_simulation - INFO - demo.py:174 - main - Demo completed successfully
2025-07-30 18:07:51,612 - cybersecurity_simulation - INFO - main.py:24 - main - Starting Digital Twin Cybersecurity Simulation
2025-07-30 18:07:51,617 - cybersecurity_simulation - INFO - main.py:29 - main - Configuration loaded successfully
2025-07-30 18:07:51,687 - cybersecurity_simulation - INFO - main.py:33 - main - Simulation engine initialized
2025-07-30 18:07:51,712 - cybersecurity_simulation - INFO - main.py:37 - main - Dashboard started
2025-07-30 18:07:51,732 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: encryption_disabled, Severity: high, System: ECG-6652, Description: Encryption is not enabled
2025-07-30 18:07:51,762 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: no_patch_management, Severity: high, System: ECG-6652, Description: No patch management system in place
2025-07-30 18:07:51,762 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: outdated_firmware, Severity: medium, System: ECG-6652, Description: Outdated firmware: FW-1.2
2025-07-30 18:07:51,782 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: outdated_firmware, Severity: medium, System: ECG-6652, Description: Outdated firmware version detected
2025-07-30 18:07:51,787 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: unencrypted_communication, Severity: high, System: ECG-6652, Description: Unencrypted communication protocol detected
2025-07-30 18:07:51,787 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: open_ports, Severity: medium, System: ECG-6652, Description: Potentially dangerous open port detected
2025-07-30 18:07:51,792 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: encryption_disabled, Severity: high, System: VitalSigns-6134, Description: Encryption is not enabled
2025-07-30 18:07:51,792 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: no_patch_management, Severity: high, System: VitalSigns-6134, Description: No patch management system in place
2025-07-30 18:07:51,792 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: unencrypted_connection, Severity: high, System: VitalSigns-6134, Description: Unencrypted HTTP connection
2025-07-30 18:07:51,797 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: weak_passwords, Severity: high, System: VitalSigns-6134, Description: Weak or default password detected
2025-07-30 18:07:51,797 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: unencrypted_communication, Severity: high, System: VitalSigns-6134, Description: Unencrypted communication protocol detected
2025-07-30 18:07:51,797 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: open_ports, Severity: medium, System: VitalSigns-6134, Description: Potentially dangerous open port detected
2025-07-30 18:07:51,802 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: no_authentication, Severity: critical, System: Backup-1644, Description: No authentication required
2025-07-30 18:07:51,802 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: unencrypted_connection, Severity: high, System: Backup-1644, Description: Unencrypted HTTPS connection
2025-07-30 18:07:51,807 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: weak_passwords, Severity: high, System: Backup-1644, Description: Weak or default password detected
2025-07-30 18:07:51,807 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: unencrypted_communication, Severity: high, System: Backup-1644, Description: Unencrypted communication protocol detected
2025-07-30 18:07:51,812 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: open_ports, Severity: medium, System: Backup-1644, Description: Potentially dangerous open port detected
2025-07-30 18:07:51,812 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: no_authentication, Severity: critical, System: MRI-8595, Description: No authentication required
2025-07-30 18:07:51,817 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: no_patch_management, Severity: high, System: MRI-8595, Description: No patch management system in place
2025-07-30 18:07:51,822 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: unencrypted_communication, Severity: high, System: MRI-8595, Description: Unencrypted communication protocol detected
2025-07-30 18:07:51,822 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: open_ports, Severity: medium, System: MRI-8595, Description: Potentially dangerous open port detected
2025-07-30 18:07:51,827 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: no_authentication, Severity: critical, System: Archive-4941, Description: No authentication required
2025-07-30 18:07:51,827 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: firewall_disabled, Severity: medium, System: Archive-4941, Description: Firewall is not enabled
2025-07-30 18:07:51,827 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: open_ports, Severity: medium, System: Archive-4941, Description: Potentially dangerous open port detected
2025-07-30 18:07:51,832 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: no_authentication, Severity: critical, System: ECG-2199, Description: No authentication required
2025-07-30 18:07:51,832 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: no_patch_management, Severity: high, System: ECG-2199, Description: No patch management system in place
2025-07-30 18:07:51,832 - cybersecurity_simulation.security - WARNING - logger.py:88 - log_vulnerability - VULNERABILITY DETECTED - Type: unencrypted_connection, Severity: high, System: ECG-2199, Description: Unencrypted TCP connection
